step,score
2381,23.81
6035,36.54
16858,108.23
35009,181.51
53621,186.12
72258,186.37
91735,194.77
111161,194.26
129879,187.18
149274,193.95
168604,193.3
187783,191.79
206779,189.96
225365,185.86
244619,192.54
262959,183.4
282951,199.92
302951,200.0
322951,200.0
342951,200.0
362951,200.0
382951,200.0
402951,200.0
422951,200.0
442951,200.0
462951,200.0
482951,200.0
502951,200.0
522951,200.0
542917,199.66
562917,200.0
582917,200.0
602917,200.0
622917,200.0
642917,200.0
662917,200.0
682917,200.0
702917,200.0
722917,200.0
742917,200.0
762853,199.36
782835,199.82
802831,199.96
822831,200.0
842831,200.0
862828,199.97
882809,199.81
902788,199.79
922676,198.88
942566,198.9
961808,192.42
981719,199.11
1001689,199.7
