step,score
2586,25.86
5268,26.82
8222,29.54
11560,33.38
15402,38.42
19304,39.02
23918,46.14
29941,60.23
35885,59.44
44087,82.02
55195,111.08
71930,167.35
90666,187.36
109731,190.65
128317,185.86
147358,190.41
167081,197.23
186654,195.73
206085,194.31
225861,197.76
245170,193.09
264815,196.45
284547,197.32
304266,197.19
323793,195.27
343127,193.34
362780,196.53
382297,195.17
402238,199.41
422238,200.0
441990,197.52
461662,196.72
481019,193.57
500843,198.24
520260,194.17
539803,195.43
559286,194.83
579195,199.09
599015,198.2
618906,198.91
638711,198.05
658272,195.61
678225,199.53
698076,198.51
718076,200.0
738046,199.7
757898,198.52
777205,193.07
796719,195.14
816678,199.59
836641,199.63
856641,200.0
876641,200.0
896400,197.59
916128,197.28
935130,190.02
955130,200.0
974499,193.69
994051,195.52
1013225,191.74
