step,score
9395,-211.8836800424203
18616,-239.3081504534058
27740,-205.36680155336097
37005,-212.77758232807196
46673,-208.21824910837364
55839,-195.97537991646706
65199,-198.58198506860066
74718,-199.94836162955824
84344,-188.90620268380695
93731,-186.74280752304819
103644,-182.77396911846103
113572,-184.8856288477134
123395,-176.04350384439792
133587,-173.46734323382276
143370,-184.24738621452425
153375,-161.65567056317283
164228,-168.99755357314163
174538,-169.29347713070828
184943,-160.95336891427024
195711,-162.04342119977423
207084,-162.45330294560623
217706,-153.0184809487766
228956,-150.73372637553638
241168,-138.71301647120694
253186,-132.61447079243067
266007,-140.49762902271956
279044,-131.17924749941764
293366,-127.13519548952509
308771,-122.99233377755738
326530,-109.81763421985256
348750,-115.84064813302724
374796,-105.58768926122411
402194,-108.25228957469037
429293,-85.80158010335222
463040,-74.88423023443444
499258,-63.99219432130146
537101,-50.05602038977641
576118,-34.49057293169526
618658,-31.48079210116722
660454,-24.435663309843548
703439,-11.052377160474716
744592,-8.047929384554791
788957,9.241561430967515
835561,7.026362920903157
880577,9.178654070538002
920484,-4.679000764739628
964710,17.360794515352396
1009088,21.39616741585865
