step,score
2187,21.87
4372,21.85
6753,23.81
8826,20.73
11137,23.11
13386,22.49
15721,23.35
18006,22.85
20554,25.48
23072,25.18
25570,24.98
27912,23.42
30209,22.97
32914,27.05
35303,23.89
38231,29.28
41102,28.71
43793,26.91
46724,29.31
49362,26.38
52231,28.69
55101,28.7
57993,28.92
61076,30.83
64139,30.63
67225,30.86
70351,31.26
73839,34.88
77372,35.33
80424,30.52
83948,35.24
87598,36.5
91175,35.77
94757,35.82
98831,40.74
102491,36.6
106656,41.65
110666,40.1
114277,36.11
118324,40.47
122258,39.34
126395,41.37
130517,41.22
134791,42.74
139301,45.1
143572,42.71
148210,46.38
153642,54.32
159486,58.44
164843,53.57
170921,60.78
178068,71.47
186521,84.53
194543,80.22
203381,88.38
212678,92.97
223333,106.55
236144,128.11
248980,128.36
264220,152.4
279806,155.86
297308,175.02
314596,172.88
332166,175.7
349973,178.07
368078,181.05
386583,185.05
405079,184.96
424279,192.0
443367,190.88
462490,191.23
482205,197.15
501302,190.97
519942,186.4
539195,192.53
558034,188.39
576757,187.23
596362,196.05
616007,196.45
635708,197.01
655458,197.5
675332,198.74
695066,197.34
714949,198.83
734797,198.48
754480,196.83
774308,198.28
794260,199.52
814117,198.57
833702,195.85
853702,200.0
873632,199.3
893450,198.18
913404,199.54
933208,198.04
953134,199.26
972939,198.05
992846,199.07
1012124,192.78
