step,score
38190,-381.4
56144,-178.54
71481,-152.37
84601,-130.2
96547,-118.46
107724,-110.77
119207,-113.84
130339,-110.33
141323,-108.84
152668,-112.46
163011,-102.43
173653,-105.42
184930,-111.77
196065,-110.35
206126,-99.61
215814,-95.88
225568,-96.54
235024,-93.56
244103,-89.79
253191,-89.88
262655,-93.64
272167,-94.12
281304,-90.37
290453,-90.49
299665,-91.12
308595,-88.3
317789,-90.94
326906,-90.17
335606,-86.0
344531,-88.25
353493,-88.62
362723,-91.3
371473,-86.5
380523,-89.5
389934,-93.11
399267,-92.33
408425,-90.58
418126,-96.02
427651,-94.25
437541,-97.9
447898,-102.57
458067,-100.69
467477,-93.1
476514,-89.37
485647,-90.33
494889,-91.42
503974,-89.85
512879,-88.05
521801,-88.22
530760,-88.59
540071,-92.12
548861,-86.91
557437,-84.76
566224,-86.87
574752,-84.28
583285,-84.33
591795,-84.1
599861,-79.66
607902,-79.41
616223,-82.21
624688,-83.65
632538,-77.5
640766,-81.28
648981,-81.15
657541,-84.6
666300,-86.59
674573,-81.73
682510,-78.37
690783,-81.73
698982,-80.99
707167,-80.85
715412,-81.45
723357,-78.45
731534,-80.77
740421,-87.87
748811,-82.9
757804,-88.93
766228,-83.24
774572,-82.44
783183,-85.11
791539,-82.56
800182,-85.43
807994,-77.12
815788,-76.94
823669,-77.81
831727,-79.58
840003,-81.76
848768,-86.66
856819,-79.51
865135,-82.16
873153,-79.18
881339,-80.86
889731,-82.92
897828,-79.97
906208,-82.8
915255,-89.48
923236,-78.81
931696,-83.6
940044,-82.49
947678,-75.34
955999,-82.22
963990,-78.91
972373,-82.83
980373,-79.0
988512,-80.39
996590,-79.78
1004544,-78.54
