step,score
2481,24.81
4997,25.16
7414,24.17
9732,23.18
12099,23.67
14769,26.7
17749,29.8
20418,26.69
23242,28.24
26292,30.5
29153,28.61
32287,31.34
35612,33.25
38782,31.7
42149,33.67
45342,31.93
48854,35.12
52749,38.95
56451,37.02
60627,41.76
64741,41.14
68747,40.06
72961,42.14
77202,42.41
81608,44.06
86293,46.85
91792,54.99
97520,57.28
103287,57.67
108912,56.25
114577,56.65
120411,58.34
127379,69.68
134088,67.09
141276,71.88
149208,79.32
158338,91.3
167935,95.97
178606,106.71
190023,114.17
202889,128.66
216704,138.15
232007,153.03
248140,161.33
264634,164.94
282239,176.05
299878,176.39
318180,183.02
336166,179.86
354716,185.5
373900,191.84
392790,188.9
412068,192.78
431536,194.68
450404,188.68
469707,193.03
489062,193.55
508662,196.0
528307,196.45
547702,193.95
567235,195.33
586714,194.79
605857,191.43
625542,196.85
645220,196.78
664741,195.21
684647,199.06
704588,199.41
724190,196.02
743825,196.35
763657,198.32
783657,200.0
803545,198.88
823205,196.6
842881,196.76
862336,194.55
881876,195.4
901536,196.6
921097,195.61
941022,199.25
960237,192.15
979335,190.98
999128,197.93
1018980,198.52
