step,score
8919,-212.0559725872745
18153,-199.2402825956512
27282,-192.07643278433997
37222,-175.8782016943569
46740,-174.7639753794013
56997,-167.36126392471436
68341,-166.0318785421948
81115,-126.31476277623486
96943,-129.4027680888837
112104,-102.58978251880006
135468,-97.24082034276702
165464,-73.06507725812693
198260,-37.60559748773673
234696,-17.0332069702547
271518,1.4523391258700251
307537,11.972278028117223
348793,30.181824307503074
393003,48.16263665306494
436421,44.41494190587786
482455,75.8287655334164
528822,72.81091215753361
573076,71.3901813052462
619696,83.43702013117951
667786,89.54470972992632
713309,89.52957900772306
759820,83.10300990315993
807758,84.12086523851686
855169,92.64278242969833
899984,79.72758800843759
944010,85.3893956615428
989147,85.27427165411486
1033673,65.30384669011451
