step,score
50000,-500.0
100000,-500.0
147247,-472.3
165654,-183.07
178635,-128.81
190994,-122.6
202295,-112.01
212875,-104.81
222745,-97.7
232326,-94.81
241585,-91.59
250714,-90.29
259652,-88.38
269475,-97.23
279062,-94.87
288312,-91.5
297724,-93.13
306813,-89.89
315635,-87.22
325382,-96.48
334422,-89.4
343491,-89.69
352234,-86.43
360987,-86.53
369619,-85.32
378005,-82.86
386970,-88.65
395318,-82.48
404552,-91.34
413154,-85.02
421784,-85.3
430732,-88.48
439045,-82.13
447401,-82.56
455709,-82.08
464508,-86.99
473256,-86.48
482067,-87.11
490434,-82.67
499170,-86.36
508424,-91.55
516954,-84.3
525617,-85.63
534081,-83.64
542762,-85.81
551261,-83.99
559520,-81.59
568462,-88.42
577408,-88.46
586754,-92.47
595680,-88.26
604324,-85.44
613040,-86.16
621582,-84.42
630472,-87.9
639037,-84.65
648005,-88.68
656562,-84.57
665229,-85.67
673969,-86.4
683083,-90.15
691453,-82.7
700148,-85.95
709110,-88.63
717737,-85.27
726177,-83.4
735062,-87.85
743848,-86.86
752250,-83.02
760827,-84.77
770238,-93.12
778768,-84.3
787535,-86.67
796699,-90.65
805467,-86.68
813850,-82.83
822891,-89.41
831989,-89.99
840567,-84.78
849286,-86.19
858350,-89.66
866835,-83.85
875462,-85.27
883878,-83.16
892316,-83.38
900884,-84.68
909375,-83.91
917745,-82.7
926743,-88.99
935402,-85.59
943977,-84.75
952170,-80.93
960833,-85.63
969418,-84.85
977930,-84.12
987121,-90.91
996559,-93.38
1005323,-86.64
