step,score
45674,-456.47
63413,-176.4
77382,-138.69
89847,-123.66
101046,-110.99
112040,-108.94
122804,-106.64
133828,-109.24
144753,-108.25
155786,-109.33
166566,-106.8
177178,-105.12
187654,-103.76
198706,-109.52
208681,-98.75
219549,-107.68
230123,-104.74
240595,-103.72
251466,-107.71
262447,-108.81
272680,-101.33
282366,-95.86
292582,-101.17
302691,-100.09
312223,-94.32
321726,-94.03
331349,-95.23
340749,-93.0
350313,-94.64
359690,-92.77
369185,-93.95
378821,-95.36
388927,-100.06
398993,-99.66
409216,-101.23
419486,-101.7
429779,-101.94
439529,-96.5
449762,-101.33
459134,-92.72
468712,-94.78
478769,-99.58
489008,-101.39
498226,-91.18
507811,-94.85
517340,-94.29
526720,-92.8
536725,-99.06
546425,-96.0
555951,-94.26
565190,-91.39
574663,-93.73
583788,-90.25
592457,-85.69
601184,-86.27
610830,-95.47
619410,-84.8
628171,-86.61
636914,-86.43
645630,-86.16
654365,-86.35
663761,-92.96
672871,-90.1
681591,-86.2
690761,-90.71
699767,-89.06
708680,-88.13
717803,-90.23
726873,-89.7
736357,-93.84
745369,-89.12
754579,-91.1
763853,-91.74
772833,-88.8
782123,-91.9
791409,-91.87
800712,-92.03
809897,-90.85
818858,-88.61
827949,-89.91
837110,-90.61
846254,-90.44
855471,-91.18
864655,-90.84
873278,-85.23
882471,-90.94
891279,-87.08
900890,-95.12
909351,-83.61
918915,-94.65
927770,-87.55
936233,-83.63
945252,-89.19
954911,-95.6
963848,-88.37
972631,-86.83
981378,-86.47
990330,-88.52
999539,-91.09
1008347,-87.08
