step,score
49912,-499.1
99541,-496.25
144390,-448.0
174920,-304.31
197486,-224.7
214800,-172.14
230708,-158.09
245211,-144.03
258932,-136.21
272259,-132.27
284407,-120.48
296724,-122.17
309053,-122.29
320487,-113.34
332515,-119.28
344252,-116.37
354956,-106.04
365810,-107.54
376703,-107.93
387992,-111.9
398333,-102.41
408616,-101.83
418841,-101.25
429756,-108.15
440372,-105.16
450469,-99.97
460375,-98.06
471294,-108.2
481625,-102.31
492050,-103.25
501771,-96.21
512036,-101.66
522216,-100.8
532577,-102.61
542235,-95.58
551875,-95.4
560909,-89.34
570046,-90.37
579700,-95.54
588968,-91.68
598866,-97.99
608494,-95.28
617451,-88.57
627024,-94.73
636503,-93.79
645940,-93.37
655312,-92.72
664693,-92.81
673809,-90.16
682831,-89.22
692199,-92.68
701407,-91.08
710419,-89.12
719624,-91.06
728713,-89.89
738203,-93.9
747683,-93.8
756601,-88.18
765804,-91.03
774951,-90.47
783572,-85.21
792801,-91.29
801716,-88.15
810795,-89.79
819985,-90.91
829007,-89.22
837700,-85.93
846771,-89.71
855725,-88.54
864162,-83.37
872832,-85.7
881928,-89.96
891078,-90.5
899761,-85.83
908883,-90.22
917573,-85.9
926397,-87.24
935475,-89.79
944640,-90.66
953517,-87.77
962397,-87.8
970693,-81.96
979858,-90.65
989066,-91.08
997923,-87.57
1006474,-84.51
