step,score
9249,-248.84683064247503
17997,-224.7454386321692
26841,-210.23116750094908
35806,-202.7907524854119
44395,-182.31210378937143
53541,-194.08627592072403
62818,-199.22903741562416
71539,-171.5490656686995
81064,-194.64163897684702
89996,-191.3064907972561
99158,-172.96398900329214
108271,-195.14982295635477
117525,-172.08752577845812
126562,-157.06448756558578
136026,-177.68814134944097
145373,-169.98977564705967
155368,-172.47528095862958
165137,-170.31912262678807
174703,-164.28770498237904
184921,-176.1740456053448
194596,-168.92453088910483
204734,-165.70178420853279
214628,-160.75106522709356
224648,-169.61792522614687
234775,-153.28455648437082
245725,-164.70467577739907
256476,-168.93737526332177
267357,-163.87593319643537
279750,-155.022292123369
291576,-157.37087450747168
304284,-157.97314675561208
316374,-147.43519542642912
329181,-149.05028914987378
343225,-141.01001928632508
358540,-142.36888403397145
374588,-133.04745880923548
393216,-133.21036416013018
414624,-143.3232258931488
437329,-119.62740059174321
455847,-102.98632430331334
474899,-92.39808718007009
498127,-90.80551788448408
522122,-76.37783498446916
549431,-80.17314059315586
584390,-64.83821119352454
618596,-58.58180622332172
653129,-55.605237557714446
697073,-25.676793800711895
740028,-15.481329003625833
783823,-11.10847668890354
825713,-6.975316879394062
868744,3.4653301225951725
910497,6.211656528773037
952560,0.27712088668693907
995214,14.141941094003766
1037427,25.226313673505263
