step,score
2219,22.19
4955,27.36
9106,41.51
21807,127.01
40761,189.54
60574,198.13
79216,186.42
97648,184.32
116092,184.44
135827,197.35
154655,188.28
173889,192.34
192605,187.16
211416,188.11
229164,177.48
247607,184.43
267185,195.78
287041,198.56
307011,199.7
326602,195.91
346245,196.43
366199,199.54
386143,199.44
406125,199.82
426021,198.96
445903,198.82
465309,194.06
484975,196.66
504975,200.0
524703,197.28
543960,192.57
563306,193.46
583108,198.02
603059,199.51
622521,194.62
641438,189.17
661426,199.88
680429,190.03
699644,192.15
716369,167.25
734014,176.45
753374,193.6
773001,196.27
792164,191.63
811159,189.95
830631,194.72
850102,194.71
869794,196.92
889244,194.5
909194,199.5
928856,196.62
948274,194.18
968074,198.0
988074,200.0
1008074,200.0
