step,score
50000,-500.0
100000,-500.0
135867,-358.06
153902,-179.35
170274,-162.72
184343,-139.69
198033,-135.9
211510,-133.77
224021,-124.11
236547,-124.26
249371,-127.24
261579,-121.09
273578,-119.0
286722,-130.45
298234,-114.13
309006,-106.72
320589,-114.83
331059,-103.7
341775,-106.16
352642,-107.67
363315,-105.73
374012,-105.97
384260,-101.48
394653,-102.93
404411,-96.58
414175,-96.64
423786,-95.11
434083,-101.97
443987,-98.04
453535,-94.48
463332,-96.97
472488,-90.56
481607,-90.19
490736,-90.29
499550,-87.14
508388,-87.38
517605,-91.17
527563,-98.59
536465,-88.02
545494,-89.29
554441,-88.47
563814,-92.73
572538,-86.24
581910,-92.72
590637,-86.27
599738,-90.01
608950,-91.12
617736,-86.86
626781,-89.45
635973,-90.92
644811,-87.38
653449,-85.38
662075,-85.26
670720,-85.45
679456,-86.36
688042,-84.86
696839,-86.97
705447,-85.08
713955,-84.08
722607,-85.52
731674,-89.67
740529,-87.55
749606,-89.77
758522,-88.16
766800,-81.78
775436,-85.36
783576,-80.4
792115,-84.39
801270,-90.56
810162,-87.92
819216,-89.54
827394,-80.78
836086,-85.92
844657,-84.71
853004,-82.47
861772,-86.68
870330,-84.58
878388,-79.58
887399,-89.11
895912,-84.13
904656,-86.44
913035,-82.79
921646,-85.11
930601,-88.56
939014,-83.13
947537,-84.23
955853,-82.16
964045,-80.92
972557,-84.12
980935,-82.78
988946,-79.11
997452,-84.06
1006326,-87.74
