step,score
9218,-214.93049637148752
18215,-198.11699491909417
28400,-192.30210310094222
38101,-179.84163021098703
47889,-164.64433057042265
58660,-165.6049918411762
70180,-157.64432431626096
83679,-141.1883593478887
100185,-115.88053828342221
127332,-87.33720264377096
163367,-51.27773326718588
197942,-16.741934174484694
237605,-11.05990319486078
278368,12.565338606679653
313867,18.773914997462786
358654,48.01505228320107
400444,56.33125242491108
446769,73.33203932515765
491111,70.33314343307478
537397,83.37642463810465
580753,86.37057752677319
626113,93.06642185929267
671614,95.48209774682296
717739,96.1545661172891
764381,102.40099471201107
811034,100.36728577551737
854410,90.5108829408026
898929,88.55406849336595
943135,88.52578727123286
990122,96.54619387360441
1037651,95.2610720895869
