step,score
2346,23.46
5051,27.05
8013,29.62
11345,33.32
15382,40.37
19084,37.02
23421,43.37
29307,58.86
35679,63.72
46191,105.12
60015,138.24
76978,169.63
95309,183.31
113962,186.53
133299,193.37
152530,192.31
171323,187.93
190022,186.99
209223,192.01
227903,186.8
247657,197.54
267528,198.71
287148,196.2
306421,192.73
325095,186.74
343871,187.76
362942,190.71
382724,197.82
401428,187.04
420712,192.84
439637,189.25
459415,197.78
478730,193.15
498671,199.41
518417,197.46
537591,191.74
557357,197.66
577171,198.14
596905,197.34
616568,196.63
636413,198.45
655768,193.55
675354,195.86
695273,199.19
715069,197.96
734884,198.15
754833,199.49
774496,196.63
794484,199.88
813987,195.03
833854,198.67
853526,196.72
873211,196.85
893167,199.56
913167,200.0
933167,200.0
953164,199.97
972913,197.49
992662,197.49
1012659,199.97
