step,score
9404,-172.08561893471855
19053,-128.57969913068055
30222,-75.81172509013726
45670,-42.3026549849387
63264,-12.351464854402542
93456,41.13602788964067
125086,65.55441035577472
168238,89.74689324754574
198818,64.94996690878862
220521,41.92965061736229
251755,83.9005624963361
287769,107.30412288200408
326200,122.39331042539305
354715,90.34630727348512
382705,92.27837352432707
414706,100.35318888713392
445239,76.10640865242183
477825,111.86250058541819
501760,82.2185733568263
526568,80.34635145001764
553481,79.84049855183113
572391,62.23050759214424
595499,68.36496805488497
623982,108.52189985978835
654133,104.41439400870901
685166,87.57242354786429
712664,115.46792359526587
742459,120.05981700048108
770309,108.3618203615936
798240,86.64792803600905
828504,61.69295168889878
854751,79.7086466195354
889843,118.312339906665
921426,102.0012380421675
956723,113.81556516320006
987027,106.62885910340526
1012212,110.2043238695356
